categoria_id,disponivel,produto,descricao,slug,image,aplicacao,unidade,num_decimais,tributacao_produto,codigo_ncm,   codigo_cest,codigo_nbs,fabricante,grupo,departamento   ,        preco_venda,   localizacao_deposito,saldo_negativo,embalagem_venda,embalagem_compra,quantidade_por_embalagem   ,peso_liquido,peso_bruto,largura,altura,comprimento,largura_palet,altura_palet,comprimento_palet,peso_liquido_palet,peso_bruto_palet,quantidade_produtos_palet,codigo_cor,codigo_tamanho,codigo_densidade,id
3,S,BC139VL      ,BASCULANTE 2 SECOES L. BRA 100 X 200 LISO    ,,,geral,UNI    ,4,0,16053,2804400,0,0,0,1,10.00,1,       ,          ,          ,              ,                 ,                 ,0,0,0,               ,               ,               ,,                 ,,,,,
1,S,BC2080VB     ,PORTA L. BRA  VZ 2VD 210 X 86 (2Fls)  BOR    ,,,geral,UNI    ,4,0,16053,2804400,0,0,0,1,10.00,1,       ,          ,          ,              ,                 ,                 ,0,0,0,               ,               ,               ,,                 ,,,,,
1,S,BC2080VL     ,PORTA L. BRA  VZ 2VD 210 X 86 (2Fls)  LISO   ,,,geral,UNI    ,4,0,16053,2804400,0,0,0,1,10.00,1,       ,          ,          ,              ,                 ,                 ,0,0,0,               ,               ,               ,,                 ,,,,,
1,S,BC2100VB     ,PORTA L. BRA VZ 2VD  210 X 100 (2Fls) BOR    ,,,geral,UNI    ,4,0,16053,2804400,0,0,0,1,10.00,1,       ,          ,          ,              ,                 ,                 ,0,0,0,               ,               ,               ,,                 ,,,,,
1,S,BC2100VL     ,PORTA L. BRA VZ 2VD  210 X 100 (2Fls) LISO   ,,,geral,UNI    ,4,0,16053,2804400,0,0,0,1,10.00,1,       ,          ,          ,              ,                 ,                 ,0,0,0,               ,               ,               ,,                 ,,,,,
1,S,BC2140VB     ,PORTA  L. BRA VZ 2VD 210 X 140 (2Fls) BOR    ,,,geral,UNI    ,4,0,16053,2804400,0,0,0,1,10.00,1,       ,          ,          ,              ,                 ,                 ,0,0,0,               ,               ,               ,,                 ,,,,,
1,S,BC2140VL     ,PORTA  L. BRA VZ 2VD 210 X 140 (2Fls) LISO   ,,,geral,UNI    ,4,0,16053,2804400,0,0,0,1,10.00,1,       ,          ,          ,              ,                 ,                 ,0,0,0,               ,               ,               ,,                 ,,,,,
1,S,BC2180VB     ,PORTA L. BRA VZ 2VD 210 X 180 (4Fls) BOR     ,,,geral,UNI    ,4,0,16053,2804400,0,0,0,1,10.00,1,       ,          ,          ,              ,                 ,                 ,0,0,0,               ,               ,               ,,                 ,,,,,
1,S,BC2180VL     ,PORTA L. BRA VZ 2VD 210 X 180 (4Fls) LISO    ,,,geral,UNI    ,4,0,16053,2804400,0,0,0,1,10.00,1,       ,          ,          ,              ,                 ,                 ,0,0,0,               ,               ,               ,,                 ,,,,,
1,S,BC2200VB     ,PORTA L. BRA VZ 2VD 210 X 200 (4Fls ) BOR    ,,,geral,UNI    ,4,0,16053,2804400,0,0,0,1,10.00,1,       ,          ,          ,              ,                 ,                 ,0,0,0,               ,               ,               ,,                 ,,,,,
1,S,BC2200VL     ,PORTA L. BRA VZ 2VD 210 X 200 (4Fls ) LISO   ,,,geral,UNI    ,4,0,16053,2804400,0,0,0,1,10.00,1,       ,          ,          ,              ,                 ,                 ,0,0,0,               ,               ,               ,,                 ,,,,,
3,S,BC3101VB     ,BASCULANTE L. BRA 30X30 BOR                  ,,,geral,UNI    ,4,0,16053,2804400,0,0,0,1,31.18,1,       ,          ,          ,              ,                 ,                 ,0,0,0,               ,               ,               ,,                 ,,,,,
3,S,BC3101VL     ,BASCULANTE L. BRA 30X30 LISO                 ,,,geral,UNI    ,4,0,16053,2804400,0,0,0,1,31.18,1,       ,          ,          ,              ,                 ,                 ,0,0,0,               ,               ,               ,,                 ,,,,,
3,S,BC3102VB     ,BASCULANTE L. BRA 40X40 BOR                  ,,,geral,UNI    ,4,0,16053,2804400,0,0,0,1,34.68,1,       ,          ,          ,              ,                 ,                 ,0,0,0,               ,               ,               ,,                 ,,,,,
3,S,BC3102VL     ,BASCULANTE L. BRA 40X40 LISO                 ,,,geral,UNI    ,4,0,16053,2804400,0,0,0,1,34.68,1,       ,          ,          ,              ,                 ,                 ,0,0,0,               ,               ,               ,,                 ,,,,,
3,S,BC3103VB     ,BASCULANTE L. BRA 40X60 BOR                  ,,,geral,UNI    ,4,0,16053,2804400,0,0,0,1,48.62,1,       ,          ,          ,              ,                 ,                 ,0,0,0,               ,               ,               ,,                 ,,,,,
3,S,BC3103VL     ,BASCULANTE L. BRA 40X60 LISO                 ,,,geral,UNI    ,4,0,16053,2804400,0,0,0,1,48.62,1,       ,          ,          ,              ,                 ,                 ,0,0,0,               ,               ,               ,,                 ,,,,,
3,S,BC3104VB     ,BASCULANTE L. BRA 40X80 BOR                  ,,,geral,UNI    ,4,0,16053,2804400,0,0,0,1,61.90,1,       ,          ,          ,              ,                 ,                 ,0,0,0,               ,               ,               ,,                 ,,,,,
3,S,BC3104VL     ,BASCULANTE L. BRA 40X80 LISO                 ,,,geral,UNI    ,4,0,16053,2804400,0,0,0,1,61.90,1,       ,          ,          ,              ,                 ,                 ,0,0,0,               ,               ,               ,,                 ,,,,,
3,S,BC3105VB     ,BASCULANTE L. BRA 40X100 BOR                 ,,,geral,UNI    ,4,0,16053,2804400,0,0,0,1,68.80,1,       ,          ,          ,              ,                 ,                 ,0,0,0,               ,               ,               ,,                 ,,,,,
3,S,BC3105VL     ,BASCULANTE L. BRA 40X100 LISO                ,,,geral,UNI    ,4,0,16053,2804400,0,0,0,1,68.80,1,       ,          ,          ,              ,                 ,                 ,0,0,0,               ,               ,               ,,                 ,,,,,
3,S,BC3106VB     ,BASCULANTE L. BRA 50X50 BOR                  ,,,geral,UNI    ,4,0,16053,2804400,0,0,0,1,48.62,1,       ,          ,          ,              ,                 ,                 ,0,0,0,               ,               ,               ,,                 ,,,,,
3,S,BC3106VL     ,BASCULANTE L. BRA 50X50 LISO                 ,,,geral,UNI    ,4,0,16053,2804400,0,0,0,1,48.62,1,       ,          ,          ,              ,                 ,                 ,0,0,0,               ,               ,               ,,                 ,,,,,
3,S,BC3107VB     ,BASCULANTE L. BRA 60X40 BOR                  ,,,geral,UNI    ,4,0,16053,2804400,0,0,0,1,57.33,1,       ,          ,          ,              ,                 ,                 ,0,0,0,               ,               ,               ,,                 ,,,,,
3,S,BC3107VL     ,BASCULANTE L. BRA 60X40 LISO                 ,,,geral,UNI    ,4,0,16053,2804400,0,0,0,1,57.33,1,       ,          ,          ,              ,                 ,                 ,0,0,0,               ,               ,               ,,                 ,,,,,
3,S,BC3108VB     ,BASCULANTE L. BRA 60X60 BOR                  ,,,geral,UNI    ,4,0,16053,2804400,0,0,0,1,69.53,1,       ,          ,          ,              ,                 ,                 ,0,0,0,               ,               ,               ,,                 ,,,,,
